Начало
BATCH_SIZE: 8, LR: 0.0005, CLIP None
Скорость обучения изменена. LR = 0.000031

Epoch: [78][80/97]	Batch Time 0.672 (2.254)	Data Time 0.001 (1.549)	Loss 2.4837 (2.3232)	
Epoch: [78][90/97]	Batch Time 1.486 (2.187)	Data Time 0.817 (1.486)	Loss 3.0726 (2.3560)	
Epoch: [79][0/97]	Batch Time 24.499 (24.499)	Data Time 23.631 (23.631)	Loss 2.6026 (2.6026)	
Epoch: [79][10/97]	Batch Time 4.431 (3.798)	Data Time 3.756 (3.107)	Loss 2.2631 (2.4207)	
Epoch: [79][20/97]	Batch Time 0.666 (2.918)	Data Time 0.000 (2.223)	Loss 2.1969 (2.3451)	
Epoch: [79][30/97]	Batch Time 1.746 (2.534)	Data Time 1.033 (1.837)	Loss 2.5548 (2.3418)	
Epoch: [79][40/97]	Batch Time 0.673 (2.400)	Data Time 0.001 (1.705)	Loss 2.5935 (2.3549)	
Epoch: [79][50/97]	Batch Time 5.495 (2.361)	Data Time 4.812 (1.658)	Loss 2.2668 (2.3516)	
Epoch: [79][60/97]	Batch Time 0.682 (2.253)	Data Time 0.001 (1.553)	Loss 2.1637 (2.3313)	
Epoch: [79][70/97]	Batch Time 0.691 (2.215)	Data Time 0.000 (1.515)	Loss inf (inf)	
Epoch: [79][80/97]	Batch Time 0.681 (2.121)	Data Time 0.001 (1.424)	Loss 2.4581 (inf)	
Epoch: [79][90/97]	Batch Time 7.611 (2.153)	Data Time 6.900 (1.457)	Loss 2.7110 (inf)	
Epoch: [80][0/97]	Batch Time 22.830 (22.830)	Data Time 22.150 (22.150)	Loss 1.8058 (1.8058)	
Epoch: [80][10/97]	Batch Time 0.686 (4.063)	Data Time 0.000 (3.352)	Loss 2.1381 (inf)	
Epoch: [80][20/97]	Batch Time 1.907 (3.114)	Data Time 1.229 (2.417)	Loss 2.2433 (inf)	
Epoch: [80][30/97]	Batch Time 0.674 (2.594)	Data Time 0.000 (1.902)	Loss 2.8190 (inf)	
Epoch: [80][40/97]	Batch Time 0.858 (2.166)	Data Time 0.166 (1.474)	Loss 1.9985 (inf)	
Epoch: [80][50/97]	Batch Time 3.098 (2.143)	Data Time 2.414 (1.452)	Loss 2.2040 (inf)	
Epoch: [80][60/97]	Batch Time 0.682 (2.231)	Data Time 0.000 (1.540)	Loss 2.6494 (inf)	
Epoch: [80][70/97]	Batch Time 0.673 (2.216)	Data Time 0.000 (1.524)	Loss 2.6689 (inf)	
Epoch: [80][80/97]	Batch Time 1.476 (2.139)	Data Time 0.799 (1.449)	Loss 2.5787 (inf)	
Epoch: [80][90/97]	Batch Time 0.665 (2.119)	Data Time 0.000 (1.430)	Loss 2.2264 (inf)	
Epoch: [81][0/97]	Batch Time 24.671 (24.671)	Data Time 23.992 (23.992)	Loss 1.8281 (1.8281)	
Epoch: [81][10/97]	Batch Time 0.713 (4.295)	Data Time 0.001 (3.584)	Loss 2.1522 (2.3573)	
Epoch: [81][20/97]	Batch Time 4.230 (3.238)	Data Time 3.558 (2.541)	Loss 2.7481 (2.3944)	
Epoch: [81][30/97]	Batch Time 1.234 (2.605)	Data Time 0.550 (1.908)	Loss 3.0199 (inf)	
Epoch: [81][40/97]	Batch Time 0.697 (2.430)	Data Time 0.001 (1.733)	Loss 2.7651 (inf)	
Epoch: [81][50/97]	Batch Time 0.692 (2.376)	Data Time 0.001 (1.680)	Loss 2.5388 (inf)	
Epoch: [81][60/97]	Batch Time 0.672 (2.243)	Data Time 0.000 (1.546)	Loss 2.5741 (inf)	
Epoch: [81][70/97]	Batch Time 0.685 (2.218)	Data Time 0.001 (1.524)	Loss 2.0101 (inf)	
Epoch: [81][80/97]	Batch Time 0.676 (2.161)	Data Time 0.000 (1.467)	Loss 2.2001 (inf)	
Epoch: [81][90/97]	Batch Time 0.789 (2.128)	Data Time 0.000 (1.433)	Loss 2.6803 (inf)	
Epoch: [82][0/97]	Batch Time 27.649 (27.649)	Data Time 26.772 (26.772)	Loss 2.1975 (2.1975)	
Epoch: [82][10/97]	Batch Time 0.678 (3.437)	Data Time 0.001 (2.733)	Loss 2.8887 (inf)	
Epoch: [82][20/97]	Batch Time 5.139 (2.760)	Data Time 4.466 (2.068)	Loss 1.8991 (inf)	
Epoch: [82][30/97]	Batch Time 0.696 (2.548)	Data Time 0.001 (1.853)	Loss 2.3231 (inf)	
Epoch: [82][40/97]	Batch Time 0.684 (2.414)	Data Time 0.001 (1.721)	Loss 1.6889 (inf)	
Epoch: [82][50/97]	Batch Time 0.689 (2.248)	Data Time 0.001 (1.557)	Loss 1.9722 (inf)	
Epoch: [82][60/97]	Batch Time 0.670 (2.179)	Data Time 0.000 (1.489)	Loss 2.0254 (inf)	
Epoch: [82][70/97]	Batch Time 0.681 (2.131)	Data Time 0.001 (1.441)	Loss 1.9956 (inf)	
Epoch: [82][80/97]	Batch Time 5.942 (2.081)	Data Time 5.138 (1.391)	Loss 3.0672 (inf)	
Epoch: [82][90/97]	Batch Time 3.076 (2.077)	Data Time 2.372 (1.385)	Loss 2.2031 (inf)	
Epoch: [83][0/97]	Batch Time 23.768 (23.768)	Data Time 22.805 (22.805)	Loss 2.1301 (2.1301)	
Epoch: [83][10/97]	Batch Time 0.781 (4.318)	Data Time 0.057 (3.578)	Loss 2.5704 (2.3184)	
Epoch: [83][20/97]	Batch Time 0.721 (2.980)	Data Time 0.000 (2.250)	Loss 1.9217 (inf)	
